timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712225698017,3907,HTTP Request,200,OK,Thread Group(10000 ) 1-156,text,true,,4984,303,1000,1000,http://localhost/orangehrm-5.6/web/index.php/auth/login,570,0,111
1712225698017,587,HTTP Request-0,302,Found,Thread Group(10000 ) 1-156,text,true,,933,154,1000,1000,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,570,0,111
1712225698616,3308,HTTP Request-1,200,OK,Thread Group(10000 ) 1-156,text,true,,4051,149,1000,1000,http://localhost/orangehrm-5.6/web/index.php/auth/login,3306,0,2
1712225698017,4151,HTTP Request,200,OK,Thread Group(10000 ) 1-160,text,true,,4965,303,999,999,http://localhost/orangehrm-5.6/web/index.php/auth/login,570,0,111
1712225698017,587,HTTP Request-0,302,Found,Thread Group(10000 ) 1-160,text,true,,933,154,999,999,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,570,0,111
1712225698624,3544,HTTP Request-1,200,OK,Thread Group(10000 ) 1-160,text,true,,4032,149,999,999,http://localhost/orangehrm-5.6/web/index.php/auth/login,3541,0,3
1712225698017,9308,HTTP Request,200,OK,Thread Group(10000 ) 1-113,text,true,,4981,303,998,998,http://localhost/orangehrm-5.6/web/index.php/auth/login,790,0,111
1712225698017,792,HTTP Request-0,302,Found,Thread Group(10000 ) 1-113,text,true,,933,154,998,998,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,790,0,111
1712225698809,8516,HTTP Request-1,200,OK,Thread Group(10000 ) 1-113,text,true,,4048,149,998,998,http://localhost/orangehrm-5.6/web/index.php/auth/login,8513,0,2
1712225698012,10877,HTTP Request,200,OK,Thread Group(10000 ) 1-21,text,true,,4984,303,997,997,http://localhost/orangehrm-5.6/web/index.php/auth/login,827,0,116
1712225698012,828,HTTP Request-0,302,Found,Thread Group(10000 ) 1-21,text,true,,933,154,997,997,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,827,0,116
1712225698841,10048,HTTP Request-1,200,OK,Thread Group(10000 ) 1-21,text,true,,4051,149,997,997,http://localhost/orangehrm-5.6/web/index.php/auth/login,10045,0,1
1712225698016,13308,HTTP Request,200,OK,Thread Group(10000 ) 1-128,text,true,,4963,303,996,996,http://localhost/orangehrm-5.6/web/index.php/auth/login,875,0,112
1712225698016,877,HTTP Request-0,302,Found,Thread Group(10000 ) 1-128,text,true,,933,154,996,996,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,875,0,112
1712225698894,12430,HTTP Request-1,200,OK,Thread Group(10000 ) 1-128,text,true,,4030,149,996,996,http://localhost/orangehrm-5.6/web/index.php/auth/login,12428,0,1
1712225698014,13718,HTTP Request,200,OK,Thread Group(10000 ) 1-86,text,true,,4980,303,995,995,http://localhost/orangehrm-5.6/web/index.php/auth/login,890,0,114
1712225698014,894,HTTP Request-0,302,Found,Thread Group(10000 ) 1-86,text,true,,933,154,995,995,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,890,0,114
1712225698908,12824,HTTP Request-1,200,OK,Thread Group(10000 ) 1-86,text,true,,4047,149,995,995,http://localhost/orangehrm-5.6/web/index.php/auth/login,12821,0,2
1712225698013,15514,HTTP Request,200,OK,Thread Group(10000 ) 1-193,text,true,,4964,303,994,994,http://localhost/orangehrm-5.6/web/index.php/auth/login,962,0,115
1712225698013,964,HTTP Request-0,302,Found,Thread Group(10000 ) 1-193,text,true,,933,154,994,994,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,962,0,115
1712225698978,14549,HTTP Request-1,200,OK,Thread Group(10000 ) 1-193,text,true,,4031,149,994,994,http://localhost/orangehrm-5.6/web/index.php/auth/login,14524,0,1
1712225698014,15534,HTTP Request,200,OK,Thread Group(10000 ) 1-99,text,true,,4982,303,993,993,http://localhost/orangehrm-5.6/web/index.php/auth/login,1090,0,114
1712225698014,1092,HTTP Request-0,302,Found,Thread Group(10000 ) 1-99,text,true,,933,154,993,993,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,1090,0,114
1712225699106,14442,HTTP Request-1,200,OK,Thread Group(10000 ) 1-99,text,true,,4049,149,993,993,http://localhost/orangehrm-5.6/web/index.php/auth/login,14439,0,2
1712225698015,15586,HTTP Request,200,OK,Thread Group(10000 ) 1-98,text,true,,4980,303,992,992,http://localhost/orangehrm-5.6/web/index.php/auth/login,984,0,113
1712225698015,986,HTTP Request-0,302,Found,Thread Group(10000 ) 1-98,text,true,,933,154,992,992,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,984,0,113
1712225699001,14600,HTTP Request-1,200,OK,Thread Group(10000 ) 1-98,text,true,,4047,149,992,992,http://localhost/orangehrm-5.6/web/index.php/auth/login,14593,0,1
1712225698012,15632,HTTP Request,200,OK,Thread Group(10000 ) 1-35,text,true,,4977,303,991,991,http://localhost/orangehrm-5.6/web/index.php/auth/login,1057,0,116
1712225698012,1059,HTTP Request-0,302,Found,Thread Group(10000 ) 1-35,text,true,,933,154,991,991,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,1057,0,116
1712225699071,14573,HTTP Request-1,200,OK,Thread Group(10000 ) 1-35,text,true,,4044,149,991,991,http://localhost/orangehrm-5.6/web/index.php/auth/login,14570,0,1
1712225698090,15629,HTTP Request,200,OK,Thread Group(10000 ) 1-294,text,true,,4968,303,990,990,http://localhost/orangehrm-5.6/web/index.php/auth/login,1017,0,38
1712225698090,1020,HTTP Request-0,302,Found,Thread Group(10000 ) 1-294,text,true,,933,154,990,990,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,1017,0,38
1712225699110,14609,HTTP Request-1,200,OK,Thread Group(10000 ) 1-294,text,true,,4035,149,990,990,http://localhost/orangehrm-5.6/web/index.php/auth/login,14607,0,1
