Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://localhost/orangehrm-5.6/web/index.php/auth/validate,700,18702,3876,26921,7219.33,0.000%,18.73762,91.58,25.53,5004.9
http://localhost/orangehrm-5.6/web/index.php/auth/validate-0,700,7526,1258,14771,3922.69,0.000%,27.77006,25.30,20.91,933.0
http://localhost/orangehrm-5.6/web/index.php/auth/validate-1,700,11172,2334,14992,3654.16,0.000%,19.79526,78.71,12.06,4071.9
Test,700,18702,3876,26921,7219.33,0.000%,18.65175,91.16,25.41,5004.9
TOTAL,2800,14026,1258,26921,7535.01,0.000%,74.60499,273.48,76.23,3753.7
